,output
drishtiGS_078.png,1
ROI - 8434_right.jpeg.png,1
ROI - 994_right.jpeg.png,1
ROI - image198prime0.jpg.png,0
ROI - image200prime0.jpg.png,0
ROI - image201prime0.jpg.png,0
ROI - image202prime0.jpg.png,1
ROI - image203prime0.jpg.png,0
ROI - image204prime0.jpg.png,1
ROI - image205prime0.jpg.png,1
ROI - image206prime0.jpg.png,1
ROI - image207prime0.jpg.png,0
ROI - image211prime0.jpg.png,1
ROI - image212prime0.jpg.png,1
ROI - image215prime0.jpg.png,0
ROI - image216prime0.jpg.png,0
ROI - image225prime0.jpg.png,1
ROI - image226prime0.jpg.png,1
ROI - image228prime0.jpg.png,0
ROI - image231prime0.jpg.png,1
ROI - image233prime0.jpg.png,0
ROI - image234prime0.jpg.png,1
ROI - image237prime0.jpg.png,0
ROI - image238prime0.jpg.png,1
ROI - image239prime0.jpg.png,0
ROI - image249prime0.jpg.png,0
ROI - image252prime0.jpg.png,1
ROI - image253prime0.jpg.png,0
